City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Ambon,ID,-3.6954,128.1814,305.23,62,40,2.57,scattered clouds
128,Birr,IE,53.0914,-7.9133,281.6,91,65,2.03,broken clouds
129,Bereda,ES,43.2686,-7.5406,284.27,99,100,1.25,overcast clouds
130,Whyalla,AU,-33.0333,137.5833,294.46,47,0,6.48,clear sky
131,Hovd,MN,48.0056,91.6419,292.32,11,0,2.99,clear sky
132,Saint George,US,37.1041,-113.5841,300.48,13,0,2.24,clear sky
133,Avarua,CK,-21.2078,-159.775,298.18,69,75,1.54,broken clouds
134,Melfi,IT,40.9965,15.6514,290.65,74,1,2.32,clear sky
135,Sept-Iles,CA,50.2001,-66.3821,279.85,61,75,2.06,broken clouds
136,Togur,RU,58.3631,82.8265,297.82,30,75,3.03,broken clouds
137,Lisakovsk,KZ,52.5369,62.4936,288.29,65,87,6.49,light rain
138,Bredasdorp,ZA,-34.5322,20.0403,283.51,87,0,1.4,clear sky
139,Thompson,CA,55.7435,-97.8558,277.24,100,100,1.54,overcast clouds
140,Lorengau,PG,-2.0226,147.2712,302.62,64,91,3.7,overcast clouds
141,Opunake,NZ,-39.4556,173.8583,291.18,93,100,8.48,overcast clouds
142,Oranjemund,NA,-28.55,16.4333,287.13,51,0,2.59,clear sky
143,Losone,CH,46.1687,8.7593,292.28,93,97,0.0,overcast clouds
144,Cidreira,BR,-30.1811,-50.2056,290.18,97,100,3.2,light rain
145,Dzerzhinskoye,RU,56.8344,95.2283,300.58,20,93,0.81,overcast clouds
146,Sobolevo,RU,54.4299,31.8996,281.4,92,100,4.49,light rain
147,Lata,PT,40.1629,-8.3327,288.46,90,92,2.27,overcast clouds
148,Nikolskoye,RU,59.7035,30.7861,282.09,79,81,3.41,broken clouds
149,Upernavik,GL,72.7868,-56.1549,258.2,89,15,1.9,few clouds
150,Tiksi,RU,71.6872,128.8694,266.98,86,35,3.58,scattered clouds
151,Naze,JP,28.3667,129.4833,292.66,78,100,7.68,overcast clouds
152,Ponazyrevo,RU,58.3578,46.3142,281.42,89,96,3.54,overcast clouds
153,Port-Gentil,GA,-0.7193,8.7815,300.13,94,75,3.09,broken clouds
154,Atuona,PF,-9.8,-139.0333,298.82,78,16,7.85,light rain
155,Igbo Ora,NG,7.4333,3.2833,296.97,95,74,1.1,broken clouds
156,Chokurdakh,RU,70.6333,147.9167,268.05,83,100,1.65,overcast clouds
157,Sahuaripa,MX,29.05,-109.2333,299.1,6,62,3.02,broken clouds
158,Beaufort,MY,5.3473,115.7455,306.69,53,85,2.43,overcast clouds
159,Faya,SA,18.3851,42.4509,294.21,14,0,4.38,clear sky
160,Gorontalo,ID,0.5412,123.0595,302.34,74,100,1.13,overcast clouds
161,College Station,US,30.628,-96.3344,298.16,72,0,2.57,clear sky
162,Oksfjord,NO,70.2396,22.3479,279.19,100,100,0.65,overcast clouds
163,San Francisco Del Mar,MX,16.2333,-94.65,302.17,67,9,1.93,clear sky
164,Acapulco,MX,16.8634,-99.8901,302.05,74,100,4.12,overcast clouds
165,Portree,GB,57.4129,-6.1942,281.77,95,99,0.89,overcast clouds
166,Yellowknife,CA,62.456,-114.3525,281.44,49,40,7.72,scattered clouds
167,Margate,GB,51.3813,1.3862,287.76,84,87,0.89,overcast clouds
168,Kimbe,PG,-5.5502,150.1429,303.43,67,82,2.68,light rain
169,Ballina,AU,-28.8667,153.5667,296.74,88,38,1.74,scattered clouds
170,Paralimni,CY,35.0375,33.9833,294.64,80,71,1.79,broken clouds
171,Suratgarh,IN,29.3167,73.9,317.35,6,0,8.95,clear sky
172,Ketchikan,US,55.3422,-131.6461,281.14,81,40,1.54,scattered clouds
173,Egvekinot,RU,66.3167,-179.1667,273.59,100,98,2.62,overcast clouds
174,Beira,MZ,-19.8436,34.8389,293.2,100,40,2.57,scattered clouds
175,Yulara,AU,-25.2406,130.9889,297.99,39,33,4.16,scattered clouds
176,Mopipi,BW,-21.1833,24.8833,288.94,38,1,3.07,clear sky
177,Sabha,LY,27.0377,14.4283,291.25,27,0,3.89,clear sky
